timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485111618948,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-225,text,false,,155,191,359,359,167,0,38
1485111618947,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-224,text,false,,155,191,359,359,168,0,39
1485111618946,161,Petición HTTP,502,Bad Gateway,Alcaldia 1-223,text,false,,155,191,358,358,161,0,39
1485111618945,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-222,text,false,,155,191,358,358,162,0,35
1485111618949,158,Petición HTTP,502,Bad Gateway,Alcaldia 1-226,text,false,,155,191,358,358,158,0,37
1485111618940,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-217,text,false,,155,191,358,358,168,0,40
1485111618942,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-220,text,false,,155,191,358,358,166,0,37
1485111618940,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-218,text,false,,155,191,358,358,168,0,39
1485111618941,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-219,text,false,,155,191,358,358,166,0,38
1485111618951,156,Petición HTTP,502,Bad Gateway,Alcaldia 1-228,text,false,,155,191,358,358,156,0,35
1485111618943,164,Petición HTTP,502,Bad Gateway,Alcaldia 1-221,text,false,,155,191,358,358,164,0,37
1485111618950,157,Petición HTTP,502,Bad Gateway,Alcaldia 1-227,text,false,,155,191,358,358,157,0,36
1485111618959,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-235,text,false,,155,191,365,365,167,0,37
1485111618952,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-229,text,false,,155,191,364,364,175,0,34
1485111618957,170,Petición HTTP,502,Bad Gateway,Alcaldia 1-233,text,false,,155,191,364,364,170,0,39
1485111618958,169,Petición HTTP,502,Bad Gateway,Alcaldia 1-234,text,false,,155,191,362,362,169,0,38
1485111618963,164,Petición HTTP,502,Bad Gateway,Alcaldia 1-239,text,false,,155,191,362,362,164,0,36
1485111618960,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-236,text,false,,155,191,362,362,167,0,36
1485111618961,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-237,text,false,,155,191,360,360,167,0,36
1485111618962,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-238,text,false,,155,191,359,359,166,0,35
1485111618983,149,Petición HTTP,502,Bad Gateway,Alcaldia 1-255,text,false,,155,191,362,362,149,0,53
1485111618998,138,Petición HTTP,502,Bad Gateway,Alcaldia 1-260,text,false,,155,191,364,364,138,0,38
1485111618979,157,Petición HTTP,502,Bad Gateway,Alcaldia 1-254,text,false,,155,191,364,364,157,0,58
1485111618974,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-249,text,false,,155,191,362,362,162,0,63
1485111618995,142,Petición HTTP,502,Bad Gateway,Alcaldia 1-259,text,false,,155,191,362,362,142,0,42
1485111618975,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-250,text,false,,155,191,362,362,162,0,62
1485111618978,160,Petición HTTP,502,Bad Gateway,Alcaldia 1-253,text,false,,155,191,364,364,160,0,59
1485111618972,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-247,text,false,,155,191,364,364,166,0,65
1485111619001,137,Petición HTTP,502,Bad Gateway,Alcaldia 1-263,text,false,,155,191,364,364,137,0,36
1485111618973,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-248,text,false,,155,191,364,364,166,0,65
1485111618976,163,Petición HTTP,502,Bad Gateway,Alcaldia 1-251,text,false,,155,191,358,358,163,0,62
1485111618999,140,Petición HTTP,502,Bad Gateway,Alcaldia 1-261,text,false,,155,191,358,358,140,0,38
1485111618992,147,Petición HTTP,502,Bad Gateway,Alcaldia 1-257,text,false,,155,191,359,359,147,0,46
1485111618989,150,Petición HTTP,502,Bad Gateway,Alcaldia 1-256,text,false,,155,191,358,358,150,0,47
1485111619000,139,Petición HTTP,502,Bad Gateway,Alcaldia 1-262,text,false,,155,191,356,356,139,0,38
1485111618994,154,Petición HTTP,502,Bad Gateway,Alcaldia 1-258,text,false,,155,191,361,361,154,0,41
1485111618970,179,Petición HTTP,502,Bad Gateway,Alcaldia 1-245,text,false,,155,191,361,361,179,0,69
1485111618977,172,Petición HTTP,502,Bad Gateway,Alcaldia 1-252,text,false,,155,191,361,361,172,0,61
1485111618971,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-246,text,false,,155,191,361,361,178,0,68
1485111618967,190,Petición HTTP,502,Bad Gateway,Alcaldia 1-243,text,false,,155,191,365,365,190,0,72
1485111618968,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-244,text,false,,155,191,364,364,189,0,71
1485111618966,192,Petición HTTP,502,Bad Gateway,Alcaldia 1-242,text,false,,155,191,363,363,192,0,73
1485111618964,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-240,text,false,,155,191,362,362,194,0,76
1485111618965,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-241,text,false,,155,191,363,363,194,0,75
1485111618860,301,Petición HTTP,502,Bad Gateway,Alcaldia 1-144,text,false,,155,191,364,364,301,0,30
1485111618851,313,Petición HTTP,502,Bad Gateway,Alcaldia 1-142,text,false,,155,191,366,366,313,0,37
1485111619035,130,Petición HTTP,502,Bad Gateway,Alcaldia 1-286,text,false,,155,191,366,366,130,0,32
1485111619034,131,Petición HTTP,502,Bad Gateway,Alcaldia 1-289,text,false,,155,191,365,365,131,0,33
1485111619033,132,Petición HTTP,502,Bad Gateway,Alcaldia 1-291,text,false,,155,191,364,364,132,0,34
1485111619035,131,Petición HTTP,502,Bad Gateway,Alcaldia 1-288,text,false,,155,191,364,364,131,0,33
1485111619035,138,Petición HTTP,502,Bad Gateway,Alcaldia 1-285,text,false,,155,191,369,369,138,0,33
1485111619034,146,Petición HTTP,502,Bad Gateway,Alcaldia 1-293,text,false,,155,191,375,375,146,0,34
1485111619035,146,Petición HTTP,502,Bad Gateway,Alcaldia 1-287,text,false,,155,191,374,374,146,0,33
1485111619035,146,Petición HTTP,502,Bad Gateway,Alcaldia 1-284,text,false,,155,191,374,374,146,0,37
1485111619033,148,Petición HTTP,502,Bad Gateway,Alcaldia 1-290,text,false,,155,191,374,374,148,0,35
1485111619035,146,Petición HTTP,502,Bad Gateway,Alcaldia 1-294,text,false,,155,191,374,374,146,0,33
1485111619036,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-295,text,false,,155,191,378,378,152,0,36
1485111619037,152,Petición HTTP,502,Bad Gateway,Alcaldia 1-279,text,false,,155,191,378,378,152,0,35
1485111619038,153,Petición HTTP,502,Bad Gateway,Alcaldia 1-274,text,false,,155,191,376,376,153,0,35
1485111619035,156,Petición HTTP,502,Bad Gateway,Alcaldia 1-283,text,false,,155,191,376,376,156,0,33
1485111619036,155,Petición HTTP,502,Bad Gateway,Alcaldia 1-292,text,false,,155,191,376,376,155,0,37
1485111619037,154,Petición HTTP,502,Bad Gateway,Alcaldia 1-296,text,false,,155,191,376,376,154,0,36
1485111619036,155,Petición HTTP,502,Bad Gateway,Alcaldia 1-281,text,false,,155,191,376,376,155,0,37
1485111619036,155,Petición HTTP,502,Bad Gateway,Alcaldia 1-280,text,false,,155,191,376,376,155,0,37
1485111619037,153,Petición HTTP,502,Bad Gateway,Alcaldia 1-276,text,false,,155,191,376,376,153,0,35
1485111619038,159,Petición HTTP,502,Bad Gateway,Alcaldia 1-297,text,false,,155,191,373,373,159,0,39
1485111619036,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-282,text,false,,155,191,377,377,162,0,40
1485111619038,160,Petición HTTP,502,Bad Gateway,Alcaldia 1-273,text,false,,155,191,377,377,160,0,39
1485111619038,160,Petición HTTP,502,Bad Gateway,Alcaldia 1-271,text,false,,155,191,375,375,160,0,44
1485111619037,162,Petición HTTP,502,Bad Gateway,Alcaldia 1-275,text,false,,155,191,376,376,162,0,40
1485111619039,160,Petición HTTP,502,Bad Gateway,Alcaldia 1-268,text,false,,155,191,375,375,160,0,38
1485111619039,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-270,text,false,,155,191,385,385,173,0,47
1485111619046,166,Petición HTTP,502,Bad Gateway,Alcaldia 1-266,text,false,,155,191,384,384,166,0,51
1485111619045,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-299,text,false,,155,191,384,384,167,0,52
1485111619044,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-302,text,false,,155,191,384,384,168,0,42
1485111619043,169,Petición HTTP,502,Bad Gateway,Alcaldia 1-298,text,false,,155,191,385,385,169,0,43
1485111619046,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-305,text,false,,155,191,383,383,167,0,51
1485111619045,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-301,text,false,,155,191,383,383,168,0,41
1485111619040,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-264,text,false,,155,191,383,383,173,0,46
1485111619044,169,Petición HTTP,502,Bad Gateway,Alcaldia 1-278,text,false,,155,191,383,383,169,0,42
1485111619045,168,Petición HTTP,502,Bad Gateway,Alcaldia 1-300,text,false,,155,191,383,383,168,0,52
1485111619041,172,Petición HTTP,502,Bad Gateway,Alcaldia 1-277,text,false,,155,191,383,383,172,0,44
1485111619054,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-312,text,false,,155,191,387,387,173,0,43
1485111619047,181,Petición HTTP,502,Bad Gateway,Alcaldia 1-272,text,false,,155,191,387,387,181,0,50
1485111619061,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-318,text,false,,155,191,387,387,167,0,36
1485111619046,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-265,text,false,,155,191,387,387,184,0,51
1485111619052,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-310,text,false,,155,191,388,388,178,0,45
1485111619046,196,Petición HTTP,502,Bad Gateway,Alcaldia 1-304,text,false,,155,191,397,397,196,0,52
1485111619050,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-308,text,false,,155,191,397,397,194,0,49
1485111619048,200,Petición HTTP,502,Bad Gateway,Alcaldia 1-306,text,false,,155,191,400,400,200,0,51
1485111619057,192,Petición HTTP,502,Bad Gateway,Alcaldia 1-315,text,false,,155,191,399,399,192,0,46
1485111619056,193,Petición HTTP,502,Bad Gateway,Alcaldia 1-314,text,false,,155,191,398,398,193,0,47
1485111619059,191,Petición HTTP,502,Bad Gateway,Alcaldia 1-317,text,false,,155,191,397,397,191,0,44
1485111619058,193,Petición HTTP,502,Bad Gateway,Alcaldia 1-316,text,false,,155,191,398,398,193,0,39
1485111619047,205,Petición HTTP,502,Bad Gateway,Alcaldia 1-303,text,false,,155,191,398,398,205,0,51
1485111619055,197,Petición HTTP,502,Bad Gateway,Alcaldia 1-313,text,false,,155,191,398,398,197,0,43
1485111619065,187,Petición HTTP,502,Bad Gateway,Alcaldia 1-322,text,false,,155,191,398,398,187,0,33
1485111619046,206,Petición HTTP,502,Bad Gateway,Alcaldia 1-269,text,false,,155,191,398,398,206,0,52
1485111619051,201,Petición HTTP,502,Bad Gateway,Alcaldia 1-309,text,false,,155,191,398,398,201,0,48
1485111619049,203,Petición HTTP,502,Bad Gateway,Alcaldia 1-307,text,false,,155,191,398,398,203,0,49
1485111619053,199,Petición HTTP,502,Bad Gateway,Alcaldia 1-311,text,false,,155,191,398,398,199,0,44
1485111619068,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-324,text,false,,155,191,398,398,184,0,35
1485111619046,206,Petición HTTP,502,Bad Gateway,Alcaldia 1-267,text,false,,155,191,398,398,206,0,52
1485111619063,188,Petición HTTP,502,Bad Gateway,Alcaldia 1-320,text,false,,155,191,398,398,188,0,36
1485111619071,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-327,text,false,,155,191,394,394,189,0,44
1485111619072,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-328,text,false,,155,191,395,395,189,0,43
1485111619080,181,Petición HTTP,502,Bad Gateway,Alcaldia 1-330,text,false,,155,191,397,397,181,0,48
1485111619066,196,Petición HTTP,502,Bad Gateway,Alcaldia 1-323,text,false,,155,191,395,395,196,0,42
1485111619073,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-329,text,false,,155,191,396,396,189,0,42
1485111619064,198,Petición HTTP,502,Bad Gateway,Alcaldia 1-321,text,false,,155,191,397,397,198,0,40
1485111619069,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-326,text,false,,155,191,396,396,194,0,47
1485111619068,195,Petición HTTP,502,Bad Gateway,Alcaldia 1-325,text,false,,155,191,396,396,195,0,48
1485111619062,200,Petición HTTP,502,Bad Gateway,Alcaldia 1-319,text,false,,155,191,396,396,200,0,46
1485111619093,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-346,text,false,,155,191,402,402,184,0,44
1485111619093,185,Petición HTTP,502,Bad Gateway,Alcaldia 1-344,text,false,,155,191,402,402,185,0,44
1485111619094,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-348,text,false,,155,191,402,402,184,0,42
1485111619095,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-349,text,false,,155,191,401,401,184,0,42
1485111619094,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-347,text,false,,155,191,401,401,186,0,43
1485111619087,193,Petición HTTP,502,Bad Gateway,Alcaldia 1-342,text,false,,155,191,401,401,193,0,41
1485111619086,195,Petición HTTP,502,Bad Gateway,Alcaldia 1-341,text,false,,155,191,400,400,195,0,42
1485111619088,201,Petición HTTP,502,Bad Gateway,Alcaldia 1-343,text,false,,155,191,406,406,201,0,49
1485111619116,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-364,text,false,,155,191,406,406,173,0,43
1485111619115,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-361,text,false,,155,191,406,406,175,0,41
1485111619115,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-366,text,false,,155,191,406,406,175,0,44
1485111619094,196,Petición HTTP,502,Bad Gateway,Alcaldia 1-345,text,false,,155,191,406,406,196,0,46
1485111619096,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-350,text,false,,155,191,405,405,194,0,44
1485111619098,193,Petición HTTP,502,Bad Gateway,Alcaldia 1-351,text,false,,155,191,403,403,193,0,42
1485111619115,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-360,text,false,,155,191,403,403,178,0,40
1485111619115,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-367,text,false,,155,191,403,403,178,0,44
1485111619105,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-358,text,false,,155,191,403,403,189,0,51
1485111619116,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-368,text,false,,155,191,403,403,178,0,43
1485111619117,183,Petición HTTP,502,Bad Gateway,Alcaldia 1-369,text,false,,155,191,404,404,183,0,43
1485111619116,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-359,text,false,,155,191,404,404,184,0,45
1485111619119,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-371,text,false,,155,191,403,403,182,0,51
1485111619115,186,Petición HTTP,502,Bad Gateway,Alcaldia 1-362,text,false,,155,191,403,403,186,0,40
1485111619116,185,Petición HTTP,502,Bad Gateway,Alcaldia 1-365,text,false,,155,191,403,403,185,0,45
