timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485115977103,8813,Petición HTTP,200,OK,Alcaldia 1-76,text,true,,77104,195,80,80,7304,0,25
1485115977154,8835,Petición HTTP,200,OK,Alcaldia 1-80,text,true,,77104,195,79,79,8157,0,24
1485115976991,9007,Petición HTTP,200,OK,Alcaldia 1-67,text,true,,77104,195,78,78,7437,0,26
1485115977053,8947,Petición HTTP,200,OK,Alcaldia 1-72,text,true,,77104,195,77,77,8405,0,24
1485115976953,9118,Petición HTTP,200,OK,Alcaldia 1-64,text,true,,77104,195,76,76,7786,0,24
1485115976173,9920,Petición HTTP,200,OK,Alcaldia 1-2,text,true,,77104,195,75,75,7124,0,60
1485115977091,9008,Petición HTTP,200,OK,Alcaldia 1-75,text,true,,77104,195,74,74,8010,0,26
1485115977003,9099,Petición HTTP,200,OK,Alcaldia 1-68,text,true,,77104,195,73,73,7735,0,31
1485115977078,9116,Petición HTTP,200,OK,Alcaldia 1-74,text,true,,77104,195,72,72,7661,0,25
1485115977128,9079,Petición HTTP,200,OK,Alcaldia 1-78,text,true,,77104,195,71,71,7822,0,27
1485115977141,9079,Petición HTTP,200,OK,Alcaldia 1-79,text,true,,77104,195,70,70,7449,0,32
1485115977066,9197,Petición HTTP,200,OK,Alcaldia 1-73,text,true,,77104,195,69,69,6952,0,29
1485115976915,9368,Petición HTTP,200,OK,Alcaldia 1-61,text,true,,77104,195,68,68,8395,0,26
1485115976186,10121,Petición HTTP,200,OK,Alcaldia 1-3,text,true,,77104,195,67,67,9868,0,47
1485115976338,10507,Petición HTTP,200,OK,Alcaldia 1-15,text,true,,77104,195,66,66,10276,0,25
1485115976740,10128,Petición HTTP,200,OK,Alcaldia 1-47,text,true,,77104,195,65,65,9935,0,29
1485115976211,10813,Petición HTTP,200,OK,Alcaldia 1-5,text,true,,77104,195,64,64,10664,0,28
1485115976375,10836,Petición HTTP,200,OK,Alcaldia 1-18,text,true,,77104,195,63,63,10610,0,26
1485115976501,10810,Petición HTTP,200,OK,Alcaldia 1-28,text,true,,77104,195,62,62,10634,0,24
1485115976514,10892,Petición HTTP,200,OK,Alcaldia 1-29,text,true,,77104,195,61,61,10631,0,31
1485115976388,11722,Petición HTTP,200,OK,Alcaldia 1-19,text,true,,77104,195,60,60,11537,0,34
